Name,Price,Brand,Model,Size,Length (mm),Width (mm),Height (mm),Weight (grams),Shape,Hand compatibility,Hump placement,Front flare,Side curvature,Thumb rest,Ring finger rest,Sensor,Sensor type,Sensor position,DPI,Polling rate (Hz),Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons,Hot-swap switches,Switches,Scroll wheel encoder,Material,Connectivity,Sensor brand,Switches brand,Scroll wheel encoder brand,Price_Currency,Price_URL,Price_Confidence,Price_Title
VXE R1 Pro,45.98,VXE,R1 Pro,Medium,120.6,64,37.8,48,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3395,Optical,Centered (50%),26000,4000,650,50,2,0,No,Transparent Pink Shell Pink Dot,Silver,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
VXE R1 SE,25.98,VXE,R1 SE,Medium,120.6,64,37.8,51,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3395 SE,Optical,Centered (50%),18000,2000,400,40,2,0,No,Blue Shell White Dot,GE 2.0,Plastic,Wireless,PixArt,Huano,Kailh,USD,,0.5,
VXE R1,23.98,VXE,R1,Medium,120.6,64,37.8,51,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3395,Optical,Centered (50%),26000,2000,650,50,2,0,No,Transparent Pink Shell Pink Dot,GE 2.0,Plastic,Wireless,PixArt,Huano,Kailh,USD,,0.5,
Glorious Model O 2 Pro 4K/8K,117.99,Glorious,Model O 2 Pro 4K/8K,Large,128,66,38,59,Symmetrical,Right,Center,Outward - slight,Inward,No,No,BAMF 2.0 26K,Optical,Forward (55%),26000,8000,650,50,2,1,No,Mouse Switches,Encoder,Plastic,Wireless,Glorious,Glorious,F-Switch,USD,,0.5,
Glorious Model D 2 Pro 4K/8K,110.48,Glorious,Model D 2 Pro 4K/8K,Large,128,67,42,62,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,BAMF 2.0 26K,Optical,Centered (53%),26000,8000,650,50,2,1,No,Optical,Encoder,Plastic,Wireless,Glorious,RAESHA,F-Switch,USD,,0.5,
Pulsar X2A Mini,129.95,Pulsar,X2A Mini,Small,116,61,37,55,Symmetrical,Ambidextrous,Back - moderate,Flat,Flat,No,No,PAW3395,Optical,Forward (55%),26000,1000,650,50,2,0,No,Optical,Blue Encoder,Plastic,Wireless,PixArt,RAESHA,Pulsar,USD,,0.5,
WLmouse Beast X,160,WLmouse,Beast X,Medium,122,62,37,39,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Centered (52%),26000,4000,650,50,2,0,No,Optical,Gold,Magnesium (metal),Wireless,PixArt,Omron,TTC,USD,,0.5,
Dareu A950 Pro 4K,62.99,Dareu,A950 Pro 4K,Medium,123,64,39,55,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3395,Optical,Centered (51%),26000,4000,650,50,2,0,No,GM 8.0,Black,Plastic,Wireless,PixArt,Kailh,Kailh,USD,,0.5,
Logitech G Pro X Superlight 2,139.99,Logitech,G Pro X Superlight 2,Large,125,63.5,40,60,Symmetrical,Right,Center,Outward - slight,Flat,No,No,HERO 2,Optical,Centered (53%),44000,8000,888,88,2,0,No,LIGHTFORCE,Silver,Plastic,Wireless,Logitech,Logitech,TTC,USD,,0.5,
Attack Shark X3,37.79,Attack,Shark X3,Medium,118.5,61,39.7,49,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3395,Optical,Centered (53%),26000,1000,650,50,2,0,No,GM 8.0 Blue,Unspecified,Plastic,Wireless,PixArt,Kailh,TTC,USD,,0.5,
