Name,Price,Brand,Model,Size,Length (mm),Width (mm),Height (mm),Weight (grams),Shape,Hand compatibility,Hump placement,Front flare,Side curvature,Thumb rest,Ring finger rest,Sensor,Sensor type,Sensor position,DPI,Polling rate (Hz),Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons,Hot-swap switches,Switches,Scroll wheel encoder,Material,Connectivity,Sensor brand,Switches brand,Scroll wheel encoder brand,Price_Currency,Price_URL,Price_Confidence,Price_Title
Keychron M2 4K,99.99,Keychron,M2 4K,Medium,121.5,66.7,40.6,53,Ergonomic,Right,Back - minimal,Outward - slight,Flat,No,No,PAW3395,Optical,Centered (52%),26000,4000,650,50,2,0,No,Transparent Blue Shell Pink Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified,USD,,0.5,
Endgame Gear XM2w 4k v2,129.99,Endgame,Gear XM2w 4k v2,Medium,122,66,38.5,61.5,Symmetrical,Right,Back - moderate,Outward - slight,Inward - aggressive,No,No,PAW3950,Optical,Forward (56%),30000,4000,750,50,2,0,No,GX,Black,Plastic,Wireless,PixArt,Kailh,Kailh,USD,,0.5,
Endgame Gear XM2 8k v2,69.99,Endgame,Gear XM2 8k v2,Medium,122,66,38.5,51.5,Symmetrical,Right,Back - moderate,Outward - slight,Inward - aggressive,No,No,PAW3950,Optical,Forward (56%),30000,8000,750,50,2,0,No,GX,Black,Plastic,Wired,PixArt,Kailh,Kailh,USD,,0.5,
Razer DeathAdder V4 Pro,169.99,Razer,DeathAdder V4 Pro,Large,128,68,44,56,Ergonomic,Right,Center,Outward - slight,Inward,No,No,Focus Pro 45K,Optical,Centered (51%),45000,8000,900,85,2,0,No,Optical Mouse Switches Gen-4,Optical Scroll Wheel,Plastic,Wireless,Razer,Razer,Razer,USD,,0.5,
Attack Shark X8 Ultra,69.99,Attack,Shark X8 Ultra,Large,125.5,63,40,55,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3950 Max,Optical,Forward (55%),42000,8000,750,50,2,0,No,D2FC-F-7N(100M),Green,Plastic,Wireless,PixArt,Omron,F-Switch,USD,,0.5,
MCHOSE A5 V2 Ultra,54.99,MCHOSE,A5 V2 Ultra,Medium,121.6,61.5,37.7,54,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395,Optical,Forward (56%),26000,8000,650,50,2,0,No,D2FC-F-K(60M),Gold,Plastic,Wireless,PixArt,Omron,TTC,USD,,0.5,
ASUS ROG Keris II Origin,119.99,ASUS,ROG Keris II Origin,Medium,121,67,42,65,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,ROG AimPoint Pro,Optical,Centered (53%),42000,8000,750,50,2,0,Yes,ROG Micro Switch II,Gold,Plastic,Wireless,ASUS,ASUS,TTC,USD,,0.5,
ASUS ROG Harpe II Ace,149.47,ASUS,ROG Harpe II Ace,Large,126.1,63.9,39.7,48,Symmetrical,Right,Center,Outward - slight,Flat,No,No,ROG AimPoint Pro,Optical,Centered (50%),42000,8000,750,50,2,0,No,ROG Optical Micro Switches,Gold,Plastic,Wireless,ASUS,ASUS,TTC,USD,,0.5,
Razer Cobra HyperSpeed,93.09,Razer,Cobra HyperSpeed,Medium,119.6,62.5,38.1,62,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,Focus X 26K,Optical,Centered (51%),26000,8000,500,40,2,1,No,Optical Mouse Switches Gen-4,Optical Scroll Wheel,Plastic,Wireless,Razer,Razer,Razer,USD,,0.5,
Kysona Mercury Ultra,59.99,Kysona,Mercury Ultra,Medium,118,63,38,41,Symmetrical,Right,Back - moderate,Outward - slight,Inward,No,No,PAW3950,Optical,Forward (54%),30000,8000,750,50,2,0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC,USD,,0.5,
Kysona Mercury Pro,59.99,Kysona,Mercury Pro,Medium,118,63,38,41,Symmetrical,Right,Back - moderate,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (54%),26000,8000,650,50,2,0,No,Transparent Green Shell White Dot,Silver,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
MCHOSE L7 Ultra+,64.99,MCHOSE,L7 Ultra+,Medium,119.6,62.9,38.1,48,Symmetrical,Right,Back - moderate,Flat,Inward,No,No,PAW3950,Optical,Centered (52%),42000,8000,750,50,2,0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC,USD,,0.5,
MCHOSE L7 Pro+,54.99,MCHOSE,L7 Pro+,Medium,119.6,62.9,38.1,45,Symmetrical,Right,Back - moderate,Flat,Inward,No,No,PAW3395,Optical,Centered (52%),26000,8000,650,50,2,0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC,USD,,0.5,
VXE R1 SE+,23.98,VXE,R1 SE+,Medium,120.6,64,37.8,55,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3395 SE,Optical,Centered (50%),18000,2000,400,40,2,0,No,Blue Shell White Dot,GE 2.0,Plastic,Wireless,PixArt,Huano,Kailh,USD,,0.5,
VXE R1 Nearlink,25.98,VXE,R1 Nearlink,Medium,120.6,64,37.8,53,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3395 SE,Optical,Centered (50%),18000,1000,400,40,2,0,No,Blue Shell White Dot,GE 2.0,Plastic,Wireless,PixArt,Huano,Kailh,USD,,0.5,
VGN R1 SE+,39.99,VGN,R1 SE+,Medium,120.6,64,37.8,55,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3395 SE,Optical,Centered (50%),18000,2000,400,40,2,0,No,Blue Shell White Dot,GE 2.0,Plastic,Wireless,PixArt,Huano,Kailh,USD,,0.5,
VGN R1 Nearlink,40.99,VGN,R1 Nearlink,Medium,120.6,64,37.8,53,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3395 SE,Optical,Centered (50%),18000,1000,400,40,2,0,No,Blue Shell White Dot,GE 2.0,Plastic,Wireless,PixArt,Huano,Kailh,USD,,0.5,
Attack Shark X8 Pro,51.67,Attack,Shark X8 Pro,Large,125.5,63,40,55,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395 Pro,Optical,Forward (55%),40000,8000,700,60,2,0,No,D2FC-F-7N(100M),Green,Plastic,Wireless,PixArt,Omron,F-Switch,USD,,0.5,
Attack Shark X8 Plus,31.99,Attack,Shark X8 Plus,Large,125.5,63,40,55,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395 Pro,Optical,Forward (55%),40000,1000,700,60,2,0,No,D2FC-F-7N(100M),Green,Plastic,Wireless,PixArt,Omron,F-Switch,USD,,0.5,
Dareu AE6,89.99,Dareu,AE6,Large,126,63.5,40,59,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3950,Optical,Centered (50%),30000,8000,750,50,2,1,No,Optical,Mechanical Encoder,Plastic,Wireless,PixArt,Omron,Unspecified,USD,,0.5,
Kysona Jupiter Ultra,59.99,Kysona,Jupiter Ultra,Large,127.5,64.3,40,47,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950,Optical,Forward (56%),30000,8000,750,50,2,0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC,USD,,0.5,
Kysona Jupiter Pro,49.99,Kysona,Jupiter Pro,Large,127.5,64.3,40,49,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (56%),24000,8000,650,50,2,0,No,Transparent Green Shell White Dot,Silver,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
Pulsar Xlite CrazyLight Mini,129.95,Pulsar,Xlite CrazyLight Mini,Small,115.6,63.4,40.7,41,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,XS-1,Optical,Forward (56%),32000,8000,750,50,2,0,No,Optical Switch,Gold,Plastic,Wireless,Pulsar,Pulsar,TTC,USD,,0.5,
HyperX Pulsefire Haste 2 S,99.99,HyperX,Pulsefire Haste 2 S,Medium,124.2,66.8,38.2,64,Symmetrical,Right,Center,Flat,Flat,No,No,26K,Optical,Forward (54%),26000,1000,650,50,2,1,No,Switches,Silver,Magnesium (metal),Wireless,HyperX,HyperX,TTC,USD,,0.5,
Delux M800 Mini Ultra,42.99,Delux,M800 Mini Ultra,Medium,118.3,62,38.7,46.5,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3950,Optical,Forward (54%),30000,8000,750,50,2,0,No,Transparent Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
Delux M800 Mini Pro,39.99,Delux,M800 Mini Pro,Medium,118.3,62,38.7,46.5,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3395,Optical,Forward (54%),26000,8000,650,50,2,0,No,Dustproof Gold 80M,Gold,Plastic,Wireless,PixArt,TTC,TTC,USD,,0.5,
Pulsar X2F,149.95,Pulsar,X2F,Fingertip,87.5,61.1,31.6,38,Symmetrical,Right,Center,Flat,Flat,No,No,XS-1,Optical,Backward (46%),32000,8000,750,50,2,0,No,Transparent Blue Shell Pink Dot,Blue Encoder,Plastic,Wireless,Pulsar,Huano,Pulsar,USD,,0.5,
G-Wolves VUK,49,G-Wolves,VUK,Medium,124.8,64.6,38.1,34.5,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3950,Optical,Forward (60%),30000,8000,750,50,2,0,No,Mechanical Switches,Mechanical Encoder,Plastic,Wireless,PixArt,Unspecified,Unspecified,USD,,0.5,
Endgame Gear OP1 8k v2,97.91,Endgame,Gear OP1 8k v2,Small,118.2,60.5,37.2,49.5,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3950,Optical,Forward (54%),30000,8000,750,50,2,0,Yes,GX,Black,Plastic,Wired,PixArt,Kailh,Kailh,USD,,0.5,
Endgame Gear OP1w 4k v2,109.99,Endgame,Gear OP1w 4k v2,Small,118.2,60.5,37.2,58.5,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3950,Optical,Forward (54%),30000,4000,750,50,2,0,Yes,GX,Black,Plastic,Wireless,PixArt,Kailh,Kailh,USD,,0.5,
Valkyrie VK M1 Pro,99.95,Valkyrie,VK M1 Pro,Medium,119.5,62,40,58,Symmetrical,Right,Center,Flat,Flat,No,No,PAW3950,Optical,-,42000,8000,750,50,2,0,No,Transparent Green Shell White Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified,USD,,0.5,
Logitech G Pro X Superlight 2 SE,139.99,Logitech,G Pro X Superlight 2 SE,Large,125,63.5,40,60,Symmetrical,Right,Center,Outward - slight,Flat,No,No,HERO 2,Optical,Centered (53%),44000,1000,888,88,2,0,No,LIGHTFORCE,Silver,Plastic,Wireless,Logitech,Logitech,TTC,USD,,0.5,
ATK A9 Pro Max,62.98,ATK,A9 Pro Max,Large,125,64,40,57,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395 Ultra,Optical,-,26000,8000,650,50,2,0,No,Transparent Pink Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
MCHOSE K7 Ultra,89.99,MCHOSE,K7 Ultra,Large,127.3,63.8,39.9,59,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950,Optical,Centered (52%),42000,8000,750,50,2,0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC,USD,,0.5,
Pulsar ZywOo The Chosen Mouse - Mini,99.95,Pulsar,ZywOo The Chosen Mouse - Mini,Small,114.5,64.8,41.8,55,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,XS-1,Optical,Centered (51%),32000,8000,750,50,2,0,No,Transparent Blue Shell Pink Dot,Mechanical Encoder,Plastic,Wireless,Pulsar,Huano,Unspecified,USD,,0.5,
Incott G23 V2 Pro,99.99,Incott,G23 V2 Pro,Large,126,63.5,39.9,51,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3950ES-KING,Optical,Centered (53%),30000,8000,750,50,2,0,No,x Huano Purple,Gold,Plastic,Wireless,PixArt,Incott,TTC,USD,,0.5,
Incott G23 V2,59.27,Incott,G23 V2,Large,126,63.5,39.9,47,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395,Optical,Centered (53%),26000,8000,650,50,2,0,No,x Huano Purple,Gold,Plastic,Wireless,PixArt,Incott,TTC,USD,,0.5,
Incott G23 V2 SC,59.27,Incott,G23 V2 SC,Large,126,63.5,39.9,46,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395,Optical,Centered (53%),26000,8000,650,50,2,0,No,Blue Shell White Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
VGN Y2 Ultra,40.99,VGN,Y2 Ultra,Medium,119,63.3,39.4,41,Hybrid,Right,Back - moderate,Outward - moderate,Inward,No,No,PAW3950,Optical,Forward (54%),42000,8000,750,50,2,0,No,Optical VGN x Kailh Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC,USD,,0.5,
VGN Y2 Pro,40.99,VGN,Y2 Pro,Medium,119,63.3,39.4,42,Hybrid,Right,Back - moderate,Outward - moderate,Inward,No,No,PAW3395,Optical,Forward (54%),36000,8000,650,50,2,0,No,Transparent Green Shell White Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
G-Wolves HTM Plus 8K,49,G-Wolves,HTM Plus 8K,Large,127.6,63.9,37.3,33.4,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950,Optical,Forward (64%),30000,8000,750,50,2,0,No,,Gold,Plastic,Wireless,PixArt,-,TTC,USD,,0.5,
Delux M900 Ultra,49.99,Delux,M900 Ultra,Large,126.6,69,41.8,48,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,PAW3950,Optical,Forward (58%),30000,8000,750,50,2,0,No,Transparent Blue Shell Pink Dot,Encoder,Plastic,Wireless,PixArt,Huano,F-Switch,USD,,0.5,
LAMZU Paro Aurora,101.99,LAMZU,Paro Aurora,Medium,120,65,40,48,Ergonomic,Right,Center,Outward - slight,Inward,No,No,PAW3950,Optical,Forward (54%),30000,8000,750,50,2,0,No,Optical,Optical Encoder,Plastic,Wireless,PixArt,Omron,Unspecified,USD,,0.5,
Pulsar TenZ Signature Edition,159.95,Pulsar,TenZ Signature Edition,Medium,120,64,40.5,47,Symmetrical,Right,Back - moderate,Outward - slight,Inward,No,No,XS-1,Optical,Forward (54%),32000,8000,750,50,2,0,No,Optical Switch,Blue Encoder,Plastic,Wireless,Pulsar,Pulsar,Pulsar,USD,,0.5,
Valkyrie VK M2 Pro,139.95,Valkyrie,VK M2 Pro,Medium,118.5,66.5,42.5,59,Ergonomic,Right,Center,Outward - slight,Flat,No,No,PAW3950,Optical,-,42000,8000,750,50,2,0,No,Transparent Green Shell White Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
Valkyrie VK M2,75.99,Valkyrie,VK M2,Medium,118.5,66.5,42.5,59,Ergonomic,Right,Center,Outward - slight,Flat,No,No,PAW3395,Optical,-,26000,1000,650,50,2,0,No,Transparent Green Shell White Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified,USD,,0.5,
EWEADN L1 Pro,54.99,EWEADN,L1 Pro,Medium,121,61.5,38,44,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395,Optical,Centered (48%),26000,8000,650,50,2,0,No,Transparent Green Shell White Dot,Encoder,Magnesium (metal),Wireless,PixArt,Huano,F-Switch,USD,,0.5,
EWEADN L1,39.99,EWEADN,L1,Medium,121,61.5,38,44,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395,Optical,Centered (48%),26000,8000,650,50,2,0,No,Transparent Green Shell White Dot,Encoder,Magnesium (metal),Wireless,PixArt,Huano,F-Switch,USD,,0.5,
Darmoshark M3 XS Pro,39.99,Darmoshark,M3 XS Pro,Small,116,60.4,36,44,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3950,Optical,Centered (53%),30000,8000,750,50,2,0,No,Azure Dragon,Gold,Plastic,Wireless,PixArt,TTC,TTC,USD,,0.5,
ATK A9 Ultra,75,ATK,A9 Ultra,Large,125,64,40,53,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3950 Ultra,Optical,-,42000,8000,750,50,2,0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC,USD,,0.5,
ATK A9,30,ATK,A9,Large,125,64,40,53,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395 SE,Optical,-,26000,1000,400,40,2,0,No,,Encoder,Plastic,Wireless,PixArt,-,F-Switch,USD,,0.5,
Attack Shark X1,34.95,Attack,Shark X1,Medium,121.8,61.2,38,53,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395 Pro,Optical,Centered (52%),40000,1000,700,60,2,1,No,D2FC-F-7N(100M),Unspecified,Plastic,Wireless,PixArt,Omron,TTC,USD,,0.5,
Pulsar X2 v3 eS Mini,129.95,Pulsar,X2 v3 eS Mini,Small,116,61,37,59,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,XS-1,Optical,Forward (55%),32000,8000,750,50,2,0,No,Optical,Blue Encoder,Plastic,Wireless,Pulsar,RAESHA,Pulsar,USD,,0.5,
Attack Shark R5 Ultra,67.99,Attack,Shark R5 Ultra,Medium,119.5,60.9,37,39,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3950,Optical,Centered (52%),42000,8000,750,50,2,0,No,D2FC-F-7N(100M),Encoder,Carbon fiber composite,Wireless,PixArt,Omron,F-Switch,USD,,0.5,
Kysona M600 V2,41.99,Kysona,M600 V2,Medium,118.3,61.8,39.6,55,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,Centered (53%),26000,1000,650,50,2,1,No,Transparent Blue Shell Pink Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified,USD,,0.5,
HyperX Pulsefire Haste 2 Pro,94.99,HyperX,Pulsefire Haste 2 Pro,Medium,124.2,66.8,38.2,60,Symmetrical,Right,Center,Flat,Flat,No,No,26K,Optical,Forward (54%),26000,4000,650,50,2,1,No,Optical Switches,Silver,Plastic,Wireless,HyperX,HyperX,TTC,USD,,0.5,
MCHOSE G7 Max,59,MCHOSE,G7 Max,Large,129.4,74.6,41.1,59,Ergonomic,Right,Center,Flat,Flat,Yes,No,PAW3395,Optical,Centered (53%),26000,8000,650,50,2,0,No,Optical V2,Gold,Plastic,Wireless,PixArt,TTC,TTC,USD,,0.5,
Kysona Uranus Pro,45,Kysona,Uranus Pro,Medium,118,69,39,54,Ergonomic,Right,Back - minimal,Flat,Flat,No,No,PAW3395,Optical,-,26000,8000,650,50,2,1,No,Transparent Green Shell White Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified,USD,,0.5,
MCHOSE M7 Ultra,59,MCHOSE,M7 Ultra,Medium,123.4,65.4,39.2,55,Symmetrical,Right,Back - minimal,Outward - slight,Flat,No,No,PAW3950,Optical,Centered (53%),42000,8000,750,50,2,0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC,USD,,0.5,
Delux M900 Mini Ultra,49.99,Delux,M900 Mini Ultra,Medium,119,65.4,40.3,45,Ergonomic,Right,Center,Outward - slight,Flat,No,No,PAW3950,Optical,Forward (54%),30000,8000,750,50,2,0,No,Transparent Blue Shell Pink Dot,Encoder,Plastic,Wireless,PixArt,Huano,F-Switch,USD,,0.5,
LAMZU Tachi,99.95,LAMZU,Tachi,Medium,120,63,38,49,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3950,Optical,Centered (53%),30000,8000,750,50,2,0,Yes,Transparent Blue Shell Pink Dot,Gold,Magnesium (metal),Wireless,PixArt,Huano,TTC,USD,,0.5,
ATK X1,94.87,ATK,X1,Large,127,64,40,54,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395,Optical,Centered (51%),26000,8000,650,50,2,0,No,Transparent Pink Shell Pink Dot,Encoder,Plastic,Wireless,PixArt,Huano,F-Switch,USD,,0.5,
Pwnage StormBreaker V2,129,Pwnage,StormBreaker V2,Medium,122,64,42,50,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Adjustable (48-62%),26000,8000,650,50,2,0,No,Optical,Gold,Magnesium (metal),Wireless,PixArt,Omron,TTC,USD,,0.5,
Pulsar X2H v3,129.95,Pulsar,X2H v3,Medium,120.4,65,39.1,53,Symmetrical,Right,Back - aggressive,Outward - slight,Inward,No,No,XS-1,Optical,Forward (55%),32000,8000,750,50,2,0,No,Optical,Blue Encoder,Plastic,Wireless,Pulsar,RAESHA,Pulsar,USD,,0.5,
Pulsar X2A v3,129.95,Pulsar,X2A v3,Medium,120,63,38,57,Symmetrical,Ambidextrous,Back - moderate,Flat,Flat,No,No,XS-1,Optical,Forward (55%),32000,8000,750,50,2,0,No,Optical,Blue Encoder,Plastic,Wireless,Pulsar,RAESHA,Pulsar,USD,,0.5,
Endgame Gear OP1w 4k,109.99,Endgame,Gear OP1w 4k,Small,118.2,60.5,37.2,58.5,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3395,Optical,Forward (54%),26000,4000,650,50,2,0,Yes,GX,Silver,Plastic,Wireless,PixArt,Kailh,TTC,USD,,0.5,
ATK F1 Extreme,110.48,ATK,F1 Extreme,Medium,118.2,62.4,38.8,35,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3950 Ultra,Optical,Centered (51%),42000,8000,750,50,2,0,No,Optical,Encoder,Plastic,Wireless,PixArt,Omron,F-Switch,USD,,0.5,
ATK X1 Ultimate,105.98,ATK,X1 Ultimate,Large,127,64,40,51,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950 Ultra,Optical,Centered (51%),42000,8000,750,50,2,0,No,Optical,Encoder,Plastic,Wireless,PixArt,Omron,F-Switch,USD,,0.5,
MCHOSE L7 Ultra,64.99,MCHOSE,L7 Ultra,Small,115.6,60.6,36,39,Symmetrical,Right,Back - moderate,Flat,Inward,No,No,PAW3950,Optical,Centered (52%),42000,8000,750,50,2,0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC,USD,,0.5,
Endgame Gear XM2w 4k,99.99,Endgame,Gear XM2w 4k,Medium,122,66,38.5,62,Symmetrical,Right,Back - moderate,Outward - slight,Inward - aggressive,No,No,PAW3395,Optical,Forward (56%),26000,4000,650,50,2,0,No,GX,Silver,Plastic,Wireless,PixArt,Kailh,TTC,USD,,0.5,
Endgame Gear XM2 8k,69.99,Endgame,Gear XM2 8k,Medium,122,66,38.5,52,Symmetrical,Right,Back - moderate,Outward - slight,Inward - aggressive,No,No,PAW3395,Optical,Forward (56%),26000,8000,650,50,2,0,No,GX,Silver,Plastic,Wired,PixArt,Kailh,TTC,USD,,0.5,
Endgame Gear OP1 8k,97.91,Endgame,Gear OP1 8k,Small,118.2,60.5,37.2,50.5,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3395,Optical,Forward (54%),26000,8000,650,50,2,0,Yes,GX,Silver,Plastic,Wired,PixArt,Kailh,TTC,USD,,0.5,
MCHOSE L7 Pro,52,MCHOSE,L7 Pro,Small,115.6,60.6,36,39,Symmetrical,Right,Back - moderate,Flat,Inward,No,No,PAW3395,Optical,Centered (52%),26000,8000,650,50,2,0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC,USD,,0.5,
MCHOSE L7,52,MCHOSE,L7,Small,115.6,60.6,36,39,Symmetrical,Right,Back - moderate,Flat,Inward,No,No,PAW3395,Optical,Centered (52%),26000,8000,650,50,2,0,No,D2FC-F-7N(100M),Gold,Plastic,Wireless,PixArt,Omron,TTC,USD,,0.5,
MCHOSE A7 Ultra,64.99,MCHOSE,A7 Ultra,Large,125.8,63.2,39.8,59,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3950,Optical,Forward (54%),42000,8000,750,50,2,0,No,D2FC-F-7N(100M) Omron Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC,USD,,0.5,
Pulsar Xlite v4 Mini,129.95,Pulsar,Xlite v4 Mini,Small,115.6,63.4,40.7,52,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,XS-1,Optical,Forward (56%),32000,8000,750,50,2,0,No,Optical,Blue Encoder,Plastic,Wireless,Pulsar,RAESHA,Pulsar,USD,,0.5,
Endgame Gear OP1 8k Purple,79,Endgame,Gear OP1 8k Purple,Small,118.2,60.5,37.2,50.5,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3950,Optical,Forward (54%),30000,8000,750,50,2,0,Yes,GX,Silver,Plastic,Wired,PixArt,Kailh,TTC,USD,,0.5,
Attack Shark R6,52.19,Attack,Shark R6,Small,118,60,38,39,Symmetrical,Right,Back - moderate,Flat,Inward,No,No,PAW3950,Optical,Forward (54%),42000,8000,750,50,2,0,No,Optical,Encoder,Plastic,Wireless,PixArt,Omron,F-Switch,USD,,0.5,
Glorious Series 2 Pro,129.99,Glorious,Series 2 Pro,Medium,118.5,62,38,55,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,BAMF 2.0,Optical,Forward (54%),26000,8000,650,50,2,1,No,Mouse Switches,Encoder,Plastic,Wireless,Glorious,Glorious,F-Switch,USD,,0.5,
Delux M700 Pro,39.99,Delux,M700 Pro,Large,128.2,67,38.7,57,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (57%),26000,8000,650,50,2,1,No,Transparent Blue Shell Pink Dot,Unspecified,Plastic,Wireless,PixArt,Huano,Huano,USD,,0.5,
Delux M700 Pro+,49.99,Delux,M700 Pro+,Large,128.2,67,38.7,56,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (57%),26000,8000,650,50,2,1,No,Transparent Green Shell White Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
Delux M700 Ultra,49.99,Delux,M700 Ultra,Large,128.2,67,38.7,59,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3950,Optical,Forward (57%),30000,8000,750,50,2,1,No,Transparent Green Shell White Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
Waizowl Cloud V2,75.99,Waizowl,Cloud V2,Large,126,68,38,55,Symmetrical,Right,Center,Flat,Inward,No,No,PAW3950,Optical,Forward (55%),30000,8000,750,50,2,0,No,Transparent Blue Shell Pink Dot,Silver,Plastic,Wireless,PixArt,Huano,TTC,USD,,0.5,
ASUS ROG Harpe Ace Mini,77.99,ASUS,ROG Harpe Ace Mini,Small,117,63,37,49,Symmetrical,Right,Back - moderate,Outward - slight,Flat,No,No,ROG AimPoint Pro,Optical,Centered (52%),42000,8000,750,50,2,0,No,ROG Optical Micro Switches,Gold,Plastic,Wireless,ASUS,ASUS,TTC,USD,,0.5,
ASUS ROG Harpe Ace Extreme,229.99,ASUS,ROG Harpe Ace Extreme,Large,127.5,63.7,39.6,47,Symmetrical,Right,Back - moderate,Outward - slight,Flat,No,No,ROG AimPoint Pro,Optical,Centered (50%),42000,8000,750,50,2,0,No,ROG Optical Micro Switches,Gold,Carbon fiber,Wireless,ASUS,ASUS,TTC,USD,,0.5,
Logitech G Pro X Superlight 2 DEX,139.99,Logitech,G Pro X Superlight 2 DEX,Large,125.8,67.7,43.9,60,Ergonomic,Right,Center,Outward - slight,Flat,No,No,HERO 2,Optical,Forward (55%),44000,8000,888,88,2,0,No,LIGHTFORCE,Silver,Plastic,Wireless,Logitech,Logitech,TTC,USD,,0.5,
