Brand,Model,Name,Size,Length (mm),Width (mm),Height (mm),Weight (grams),Shape,Hand compatibility,Hump placement,Front flare,Side curvature,Thumb rest,Ring finger rest,Sensor,Sensor type,Sensor position,DPI,Polling rate (Hz),Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons,Hot-swap switches,Switches,Scroll wheel encoder,Material,Connectivity,Sensor brand,Switches brand,Scroll wheel encoder brand
Razer,Cobra HyperSpeed,Razer Cobra HyperSpeed,Medium,119.6,62.5,38.1,62.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,Focus X 26K,Optical,Centered (51%),26000.0,8000.0,500.0,40.0,2.0,1.0,No,Optical Mouse Switches Gen-4,Optical Scroll Wheel,Plastic,Wireless,Razer,Razer,Razer
Kysona,Mercury Ultra,Kysona Mercury Ultra,Medium,118.0,63.0,38.0,41.0,Symmetrical,Right,Back - moderate,Outward - slight,Inward,No,No,PAW3950,Optical,Forward (54%),30000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC
Kysona,Mercury Pro,Kysona Mercury Pro,Medium,118.0,63.0,38.0,41.0,Symmetrical,Right,Back - moderate,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (54%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Transparent Green Shell White Dot,Silver,Plastic,Wireless,PixArt,Huano,TTC
MCHOSE,L7 Ultra+,MCHOSE L7 Ultra+,Medium,119.6,62.9,38.1,48.0,Symmetrical,Right,Back - moderate,Flat,Inward,No,No,PAW3950,Optical,Centered (52%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC
MCHOSE,L7 Pro+,MCHOSE L7 Pro+,Medium,119.6,62.9,38.1,45.0,Symmetrical,Right,Back - moderate,Flat,Inward,No,No,PAW3395,Optical,Centered (52%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC
ATK,X1 S,ATK X1 S,Large,127.0,64.0,40.0,54.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395,Optical,Centered (51%),26000.0,1000.0,650.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Encoder,Plastic,Wireless,PixArt,Huano,F-Switch
ATK,X1 SE,ATK X1 SE,Large,127.0,64.0,40.0,54.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395 SE,Optical,Centered (51%),18000.0,1000.0,400.0,40.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Encoder,Plastic,Wireless,PixArt,Huano,F-Switch
VXE,R1 SE+,VXE R1 SE+,Medium,120.6,64.0,37.8,55.0,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3395 SE,Optical,Centered (50%),18000.0,2000.0,400.0,40.0,2.0,0.0,No,Blue Shell White Dot,GE 2.0,Plastic,Wireless,PixArt,Huano,Kailh
VXE,R1 Nearlink,VXE R1 Nearlink,Medium,120.6,64.0,37.8,53.0,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3395 SE,Optical,Centered (50%),18000.0,1000.0,400.0,40.0,2.0,0.0,No,Blue Shell White Dot,GE 2.0,Plastic,Wireless,PixArt,Huano,Kailh
VGN,R1 SE+,VGN R1 SE+,Medium,120.6,64.0,37.8,55.0,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3395 SE,Optical,Centered (50%),18000.0,2000.0,400.0,40.0,2.0,0.0,No,Blue Shell White Dot,GE 2.0,Plastic,Wireless,PixArt,Huano,Kailh
