Brand,Model,Name,Size,Length (mm),Width (mm),Height (mm),Weight (grams),Shape,Hand compatibility,Hump placement,Front flare,Side curvature,Thumb rest,Ring finger rest,Sensor,Sensor type,Sensor position,DPI,Polling rate (Hz),Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons,Hot-swap switches,Switches,Scroll wheel encoder,Material,Connectivity,Sensor brand,Switches brand,Scroll wheel encoder brand
Drevo,Falcon,Drevo Falcon,Large,126,63,39,90,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PMW3389,Optical,Forward (55%),16000,1000,400,50,2,1,No,Blue Shell White Dot,Encoder,Plastic,Wireless,PixArt,Huano,F-Switch
Vancer,Gretxa,Vancer Gretxa,Medium,123,63,37,68,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3370,Optical,Centered (53%),6400,1000,400,50,2,1,No,D2FC-F-7N(20M),Teal,Plastic,Wireless,PixArt,Omron,F-Switch
Ironcat,HPC02M,Ironcat HPC02M,Small,115.5,62,36.8,63,Symmetrical,Right,Back - moderate,Flat,Inward,No,No,PAW3395,Optical,Centered (52%),26000,1000,650,50,2,1,Yes,Black Shell Pink Dot TTC Dustproof Gold 60M Unspecified Mechanical Switches,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified
Ironcat,HPC02,Ironcat HPC02,Medium,120,65,38.3,68,Symmetrical,Right,Back - moderate,Flat,Inward,No,No,PAW3395,Optical,Centered (52%),26000,1000,650,50,2,1,Yes,Black Shell Pink Dot TTC Dustproof Gold 60M Unspecified Mechanical Switches,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified
Razer,Basilisk Essential,Razer Basilisk Essential,Large,124,75,43,95,Ergonomic,Right,Back - minimal,Flat,Flat,Yes,No,5G,Optical,Backward (46%),6400,1000,450,50,3,2,No,D2FC-F-7N(20M),,Plastic,Wired,Razer,Omron,-
Cooler,Master MM720,Cooler Master MM720,Small,105.4,76.5,37.4,49,Ergonomic,Right,Back - moderate,Inward - slight,Outward,No,Yes,PMW3389,Optical,Forward (55%),16000,1000,400,50,2,0,No,Optical,E11,Plastic,Wired,PixArt,LK,LK
LAMZU,Thorn,LAMZU Thorn,Medium,119,65,42,52,Ergonomic,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (54%),26000,1000,650,50,2,0,No,Optical,Silver,Plastic,Wireless,PixArt,RAESHA,TTC
Razer,DeathAdder V3,Razer DeathAdder V3,Large,128,68,44,59,Ergonomic,Right,Center,Outward - slight,Inward,No,No,Focus Pro 30K,Optical,Centered (51%),30000,8000,750,70,2,0,No,Optical Mouse Switches Gen-3,Black,Plastic,Wired,Razer,Razer,Kailh
VGN,Dragonfly F1 Pro Max,VGN Dragonfly F1 Pro Max,Medium,121.2,63.8,37.6,55,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3395,Optical,Forward (54%),26000,4000,650,50,2,0,No,GM 8.0 Blue,Silver Kailh GE 2.0,Plastic,Wireless,PixArt,Kailh,TTC
VGN,Dragonfly F1 Pro,VGN Dragonfly F1 Pro,Medium,121.2,63.8,37.6,49,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3395,Optical,Forward (54%),26000,4000,650,50,2,0,No,GM 8.0 Blue,Silver Kailh GE 2.0,Plastic,Wireless,PixArt,Kailh,TTC
VGN,Dragonfly F1,VGN Dragonfly F1,Medium,121.2,63.8,37.6,49,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3395,Optical,Forward (54%),26000,1000,650,50,2,0,No,GM 8.0 Blue,Silver Kailh GE 2.0,Plastic,Wireless,PixArt,Kailh,TTC
Waizowl,OGM Pro,Waizowl OGM Pro,Medium,121,66,40,68,Hybrid,Right,Center,Flat,Flat,No,No,PAW3395,Optical,Centered (52%),26000,1000,650,50,2,1,No,Dustproof Gold 80M,Gold,Plastic,Wireless,PixArt,TTC,TTC
Endgame,Gear XM2we,Endgame Gear XM2we,Medium,122,66,38.5,63,Symmetrical,Right,Back - moderate,Outward - slight,Inward - aggressive,No,No,PAW3370,Optical,Forward (56%),19000,1000,400,50,2,0,No,GO,Silver,Plastic,Wireless,PixArt,Kailh,TTC
SteelSeries,Rival 110,SteelSeries Rival 110,Medium,120.6,68,38.1,88,Symmetrical,Right,Back - minimal,Flat,Inward,No,No,TrueMove 1,Optical,Centered (47%),7200,1000,240,30,2,1,No,Black Shell Orange Dot 30M,Teal,Plastic,Wired,SteelSeries,SteelSeries,TTC
